Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
netherlands,,,,,,,,,,,,,,,,,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,21,21,21,21,21,21,21,21,21,21,21
albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,7,7,7,8,8,8,8,8,8,8,8,9
czech republic,,,,,,,,,,,,,,,,,,,,,,,,13,14,16,16,16,15,15,15,15,17,17,17,15,17,16,17,17,16,18,18,18,18,18,18,18,17,18,18,18,18,18,18
denmark,,,,,,,,,,,,21.0,21.0,20.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,8.0,10.0,8.0,6.0,6.0,6.0,6.0,5.0,5.0,7.0,6.0,6.0,7.0,6.0,2.0,1.0,1.0
italy,,,,,,,,,,,,,,,,,21,21,20,20,20,20,18,19,19,19,18,18,19,19,19,19,19,19,18,18,17,17,17,17,17,16,16,13,12,12,13,13,13,13,13,14,12,12,14
liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
romania,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,6,6,6,7,8,9,11,12,12,12,11,11,11,11,12,11,12,12,12,12,12,12,12,12,12,12,12
lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,15,15,15,15,15,16,16,16,16,16
slovakia,,,,,,,,,,,,,,,,,,,,,,,,,9,12,12,12,11,11,11,12,13,13,15,16,17,17,17,17,17,17,16,16,16,17,17,16,16,16,17,17,17,17,15
slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,15,16,16,18,17,18,18,19,19,19,19,19,17,16,11,15,15,16,16,17,16,15,15,15,15,18
norway,,,,,,21,21,21,21,21,21,21.0,21.0,21.0,21.0,21.0,21,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
malta,,,,,,,,,,,,,,,,,,,,,,,,,16,16,17,16,17,16,16,16,16,15,15,15,15,16,17,17,17,16,15,15,15,14,15,15,17,16,15,16,16,16,16
ireland,,,,,,,,,,,,,,,,,,18,17,18,18,18,18,18,19,19,19,20,20,20,20,21,21,21,21,21,21,21,21,20,14,14,15,11,16,14,15,16,16,18,17,16,18,19,19
finland,,,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.0,18.0,18.0,18.0,19.0,20.0,19.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,12,12,13,13,13,12,12,12,12,12,11,11,11,10,10,10,11,10,11,11,13,13,15
bosnia and herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,7,7,8,8,8,7,6,6,6,6,6,6,6,7,7,7,7,8,8
united kingdom,,,,,,,,,21,21,21,21.0,21.0,21.0,21.0,21.0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,21,21,19,19,19,19,20,20,18,18,18
germany,,,,,,,,,,,,,,21.0,21.0,21.0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,7,7,8,8,8,10,11,11,14,14,13,13,13,13,13,13,11,11,11,12,12,13,14,14,14,13,13
serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,9,9,9,9,9,10,9,8,9,9,9,10,10,11,11,11,11,11,12
france,,,,,,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.0,19.0,21.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0,19.0,19.0,18.0
portugal,,,,,,,,,,,,,,,,,17,17,16,16,16,17,17,18,18,18,18,18,19,19,19,19,19,19,19,18,18,18,18,17,17,12,12,9,11,11,11,12,12,14,13,13,14,15,16
spain,,,,,,,,,,,,,,,,,,,19,19,19,19,19,19,19,19,19,19,19,20,20,21,21,20,21,21,21,21,21,20,20,18,12,12,15,15,15,14,14,16,16,16,16,16,17
luxembourg,,,,,,,,,,,,,,,,,,,,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
austria,,,,,,21,21,21,21,21,21,21.0,21.0,21.0,21.0,21.0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,20,20,21,20,20,20,20,20,20,20,20,20
latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,14,14,14,12,12,15,15,15,15,15,15,15,15,15,15,16
greece,,,,,,,,,,,,,,,,,,,13.0,13.0,14.0,12.0,12.0,12.0,12.0,12.0,14.0,12.0,13.0,15.0,15.0,16.0,17.0,17.0,16.0,16.0,16.0,17.0,17.0,16.0,11.0,2.0,6.0,3.0,7.0,5.0,6.0,5.0,8.0,9.0,9.0,10.0,11.0,12.0,11.0
andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,14,15
moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,7.0,7.0,6.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
sweden,,,,,,,,21,21,21,21,21.0,21.0,21.0,21.0,21.0,21,21,21,21,21,20,20,20,19,20,20,18,19,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
belgium,,,,,,,,,,,,,,,,,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,18,19,19,20,20,20,20,20,20,20,20,19,19,18
switzerland,,,,,,,,,,,,,21.0,21.0,21.0,21.0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,11,10,9,9,9,9,9,8,8,8,8,8,8,8,7,7,7,9
cyprus,,,,,,,,,,,,,,,,,,,,,,,,,18.0,18.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,16.0,12.0,5.0,6.0,6.0,7.0,7.0,11.0,12.0,12.0,12.0,12.0,13.0,14.0,15.0
iceland,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,17,18,17,17,17,17,17,17,17,18,17,17,14,12,12,12,12,12,12,13,15,16,15,16,16,16,16,17,17
hungary,,,,,,,,,,,,,,,,,,,,13,11,11,11,11,11,11,12,12,13,14,15,17,17,17,17,17,16,16,13,12,12,11,10,10,11,11,12,12,12,13,12,13,13,12,13
poland,,,,,,,,,,,,,,,,,,,,,,,,,,10,12,12,12,14,14,14,16,14,14,14,14,15,15,15,15,15,15,15,15,16,14,16,15,15,15,15,15,15,15
russia,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,3.0,3.0,6.0,8.0,10.0,12.0,12.0,12.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,12.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,2.0,2.0,2.0
north macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9
estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,14.0,14.0,15.0,17.0,15.0,16.0,16.0,16.0,17.0,17.0,15.0,16.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,17.0
ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,5.0,7.0,7.0,8.0,8.0,9.0,8.0,9.0,7.0,5.0,7.0,7.0,7.0,6.0,3.0,3.0,3.0,4.0,5.0,5.0,6.0,6.0,5.0,4.0,2.0
