Entry ID,Latitude,Longitude
320,43.7189,17.3911
612,46.4988,38.2509
629,41.7226,23.1634
725,50.3235,4.1823
761,54.6869,-7.9352
791,42.6074,25.4857
838,53.8062,14.9277
1040,37.6506,14.6659
1053,41.7360,-1.3830
1054,41.7140,-1.4170
1055,48.7488,4.4338
1096,41.0770,-1.0101
1171,41.1201,0.4093
1192,41.1925,1.5915
1222,48.6101,4.1423
1280,45.9852,24.6859
1314,48.8349,4.4269
1416,51.1252,17.5450
1449,43.5508,27.1065
1528,41.0456,15.7908
1530,41.8101,-4.9701
1638,49.8243,3.5243
1641,42.2526,-3.6382
1642,41.5510,-1.0580
1681,37.0474,-4.9177
1682,48.5085,3.9891
1693,41.7226,23.1634
1772,41.3933,14.9722
1775,41.5626,-2.2871
1834,45.9852,24.6859
1835,42.7646,-7.5676
1897,37.3123,13.5746
1900,61.5584,21.6119
1965,43.8053,3.1928
1981,45.9852,24.6859
2054,52.1642,10.5402
2108,53.3396,18.5498
2245,53.4941,11.4408
2246,40.7838,8.7437
2253,41.8190,-1.4210
2256,43.1001,-3.4601
2261,41.1419,0.8883
2333,49.7921,1.9434
2418,42.0822,13.6250
2422,37.3401,-2.4701
2494,37.7516,14.2723
2498,48.8247,4.4365
2503,41.4731,25.6546
2504,41.4731,25.6546
2612,41.8165,15.0161
2613,39.6591,-2.3808
2619,43.3787,2.1762
2717,39.5371,9.1982
2718,41.3174,14.9258
2895,41.3201,15.1472
2896,40.3944,16.1446
2899,53.3521,16.9285
2900,39.0661,-2.6740
2901,40.3209,-0.9562
2902,42.7238,-6.0518
2903,54.8956,-4.4936
2996,37.8801,14.2965
2999,41.0910,-1.0160
3000,41.1723,-2.4354
3147,47.0512,2.0839
3153,36.6866,-6.2307
3279,50.0170,3.5271
3283,41.8340,-1.3960
3532,37.1538,-2.6883
3534,54.0766,21.3750
3535,42.6384,12.6743
3536,41.2142,15.2853
3540,52.3506,10.0002
3603,53.0190,20.8804
3622,43.2275,-0.9113
3623,48.3950,1.9428
3636,50.7584,5.6095
3867,42.2869,-3.5962
3868,36.3149,-5.9447
3871,42.2769,-3.8982
3876,41.3673,14.9791
3877,41.2947,15.0627
3883,45.9633,-0.6427
3888,50.0536,5.7810
3889,45.3300,33.1000
3898,49.7984,5.8813
4032,50.3969,3.0079
4034,51.1757,3.8268
4035,43.1530,-9.2045
4242,41.2578,15.1685
4244,40.5166,15.9246
4266,49.9157,3.1003
4452,42.1007,-1.7753
4453,52.9127,21.0245
4455,40.0960,18.0534
4457,41.5805,14.8721
4458,41.3584,15.0579
4460,41.0804,15.3788
4461,41.2712,14.9938
4462,40.7551,15.7176
4471,43.3334,2.2603
4489,49.8801,1.4600
4492,50.3616,2.8159
4495,50.5923,4.6232
4741,36.7507,-3.5179
4742,38.9186,-1.7228
4744,41.5536,1.3745
4746,52.2278,20.0426
4749,41.0113,15.0997
4752,52.1612,10.2597
4755,48.2115,1.9552
4757,50.0418,4.3618
4758,50.7048,5.1262
4759,51.1794,4.8881
4788,42.6591,-1.7153
4789,49.4349,2.5527
4914,42.8401,-3.6010
4945,46.9550,2.0087
4954,56.0187,13.9841
4955,52.7838,4.9438
5491,39.0531,-1.5016
5492,36.1630,-5.8025
5494,41.4995,1.2194
5495,36.1267,-5.7130
5499,44.1783,8.0531
5502,53.3979,8.6480
5503,49.5560,4.3778
5504,48.2136,2.1311
5506,45.1891,5.7123
5508,48.8980,0.5604
5512,49.6790,1.9727
5513,49.6550,2.2871
5514,47.1820,1.9542
5516,51.3632,4.2970
5545,42.5892,-5.5633
5670,42.1388,-8.7897
5671,40.6295,16.7997
5672,41.7872,14.3034
5673,52.1612,10.2597
5679,46.6906,-1.0273
6155,41.2640,-1.0240
6158,44.7203,28.3828
6159,44.9166,27.6080
6161,51.3727,3.6128
6163,42.0767,13.6633
6164,42.6384,12.6743
6165,37.8102,13.7952
6166,40.9949,15.3212
6167,52.1743,10.2624
6170,49.6724,4.0491
6171,48.0403,5.2640
6173,48.1733,2.2065
6176,46.1490,0.3361
6177,49.7868,1.8991
6178,50.2975,2.2251
6179,48.2206,1.8919
6180,50.0440,4.3795
6181,50.4092,3.7314